maintenance_id,aircraft_id,aircraft_model,base_location,maintenance_type,supplier_name,event_date,downtime_hours,supplier_delay_days,maintenance_status,maintenance_cost,readiness_score
242,AC-5444,F-35A,Eglin AFB,Hydraulics,Raytheon,04/13/2025,23.0,5,Completed,22792.2,72
243,AC-6090,F-16,Fort Worth,Landing Gear,GE Aerospace,2024-08-26,18.0,6,In Progress,18522.88,75
244,AC-9083,F-22,Eglin AFB,Avionics,Northrop,2024-07-07,11.0,5,In Progress,13259.53,88
245,AC-1023,C-130,Hill AFB,Engine Repair,Northrop,01/05/2024,21.0,0,Completed,37349.87,79
246,AC-1719,F-22,Eglin AFB,Software Update,Boeing,05/23/2024,21.0,6,Delayed,36792.29,69
247,AC-2020,C-130,Luke AFB,Avionics,Boeing,10/30/2024,31.0,9,In Progress,2909.51,64
248,AC-3230,B-2,Fort Worth,Avionics,Raytheon,2024-02-08,7.0,2,In Progress,25313.09,89
249,AC-5341,F-35A,Fort Worth,Avionics,Boeing,06/06/2024,22.0,N/A,In Progress,27241.2,78
250,AC-7492,B-2,Fort Worth,Electrical,Boeing,05/10/2025,11.0,N/A,Awaiting Parts,8120.07,87
251,AC-2551,C-130,Fort Worth,Avionics,Raytheon,2024-10-08,10.0,0,Delayed,13289.52,88
252,AC-2376,B-2,Eglin AFB,Hydraulics,Raytheon,2024-12-17,26.0,1,Awaiting Parts,56588.58,78
253,AC-3007,F-35A,Nellis AFB,engine repair,Northrop,03/09/2025,21.0,5,Awaiting Parts,14699.71,74
254,AC-4517,F-22,Hill AFB,Hydraulics,GE Aerospace,03/29/2024,,2,Delayed,26464.12,75
255,AC-8848,F-35A,Fort Worth,Hydraulics,GE Aerospace,2025-03-27,38.0,4,Delayed,38791.28,61
256,AC-7266,F-16,Nellis AFB,Landing Gear,GE Aerospace,02/10/2025,12.0,4,In Progress,46249.61,79
257,AC-5602,F-35A,Nellis AFB,Landing Gear,Boeing,04/22/2024,12.0,12,Completed,33493.02,71
258,AC-4594,B-2,Nellis AFB,Hydraulics,Northrop ,2024-09-30,13.0,7,In Progress,36670.65,75
259,AC-3328,B-2,Luke AFB,Software Update,L3Harris ,12/24/2024,22.0,0,Delayed,16274.35,78
260,AC-6435,B-2,Luke AFB,Avionics,Boeing,09/01/2024,16.0,4,In Progress,32448.07,75
261,AC-2817,B-2,Hill AFB,Engine Repair,Boeing,12/26/2024,19.0,0,In Progress,29562.37,78
262,AC-8982,F-16,Luke AFB,Electrical,L3Harris,03/21/2024,22.0,7,Delayed,37969.37,72
263,AC-5825,F-22,Luke AFB,Electrical,Raytheon,07/12/2024,24.0,6,Completed,24158.01,69
264,AC-4619,B-2,Fort Worth,Software Update,Northrop,02/18/2025,4.0,6,In Progress,27492.25,94
265,AC-6500,C-130,Fort Worth,Hydraulics,Northrop,02/15/2024,20.0,0,Completed,12027.32,85
266,AC-3725,C-130,Nellis AFB,Software Update,Boeing,08/12/2024,26.0,4,Delayed,33178.01,71
267,AC-5831,F-35A,Hill AFB,Hydraulics,Raytheon,2025-03-09,18.0,5,Completed,36259.41,72
268,AC-8909,F-35A,Nellis AFB,Electrical,Northrop,02/17/2024,13.0,N/A,In Progress,19452.7,82
269,AC-9849,F-16,Hill AFB,Hydraulics,Northrop,2024-12-22,14.0,3,Awaiting Parts,27665.61,86
270,AC-5825,B-2,Nellis AFB,Avionics,Raytheon,2024-08-06,14.0,10,Completed,14264.71,72
271,AC-8715,C-130,Hill AFB,Engine Repair,L3Harris,02/05/2025,16.0,3,Delayed,42363.73,82
272,AC-4706,F-16,Eglin AFB,Engine Repair,Northrop,08/26/2024,19.0,9,In Progress,7173.28,71
273,AC-4727,B-2,Fort Worth,Software Update,L3Harris,01/22/2025,20.0,8,Awaiting Parts,25987.41,76
274,AC-7468,F-35A,Eglin AFB,Landing Gear,L3Harris,06/02/2024,26.0,2,Completed,41912.17,68
275,AC-4471,F-22,Luke AFB,Engine Repair,GE Aerospace,2025-04-30,36.0,3,Delayed,19653.97,58
276,AC-2425,C-130,Eglin AFB,Software Update,L3Harris,04/11/2025,29.0,11,Completed,18725.68,56
277,AC-2843,C-130,Luke AFB,Avionics,L3Harris,09/24/2024,14.0,3,Completed,8866.59,84
278,AC-6633,C-130,Hill AFB,Software Update,GE Aerospace,05/26/2024,10.0,0,Awaiting Parts,15786.43,93
279,AC-1635,C-130,Hill AFB,electrical,Northrop,2024-12-21,17.0,5,In Progress,43606.01,79
280,AC-5593,C-130,Fort Worth,Avionics,Northrop,06/04/2024,10.0,8,In Progress,22432.13,81
281,AC-4079,C-130,Luke AFB,Software Update,GE Aerospace,11/26/2024,17.0,7,Delayed,11527.34,72
282,AC-9589,B-2,Fort Worth,Avionics,Northrop,07/25/2024,21.0,N/A,Completed,30909.42,71
283,AC-5488,F-16,Nellis AFB,Landing Gear,GE Aerospace,12/26/2024,20.0,N/A,In Progress,17347.12,64
284,AC-6730,F-16,Luke AFB,Hydraulics,Raytheon,05/06/2025,13.0,2,Delayed,18334.27,87
285,AC-5408,C-130,Eglin AFB,Engine Repair,Raytheon,12/12/2024,12.0,9,Completed,42046.05,77
286,AC-5511,C-130,Nellis AFB,Hydraulics,GE Aerospace ,04/27/2025,13.0,1,Awaiting Parts,30656.99,85
287,AC-5631,F-16,Fort Worth,Software Update,Raytheon,12/05/2024,13.0,7,In Progress,27435.08,80
288,AC-5895,F-22,Luke AFB,Landing Gear,Northrop,04/01/2025,5.0,11,Awaiting Parts,46550.53,89
289,AC-9148,F-16,Hill AFB,Software Update,GE Aerospace,01/04/2025,,3,Delayed,28430.38,79
290,AC-8794,F-16,Eglin AFB,Hydraulics,Northrop,12/17/2024,20.0,7,Completed,49122.45,76
291,AC-3999,F-16,Fort Worth,Avionics,Boeing,01/06/2025,16.0,1,In Progress,8448.17,86
292,AC-8709,F-35A,Eglin AFB,Landing Gear,L3Harris,2024-08-25,12.0,4,Awaiting Parts,46534.69,80
293,AC-3250,F-22,Hill AFB,Software Update,L3Harris,03/21/2025,13.0,5,Delayed,24802.93,79
294,AC-6134,F-35A,Fort Worth,Software Update,Boeing,11/19/2024,27.0,15,Delayed,18629.57,55
295,AC-8105,C-130,Nellis AFB,Software Update,GE Aerospace,02/15/2024,,9,In Progress,33182.7,74
296,AC-4122,F-35A,Fort Worth,Electrical,Northrop,01/22/2025,32.0,7,Completed,20688.49,64
297,AC-1749,F-16,Hill AFB,Software Update,L3Harris,03/26/2024,22.0,9,Delayed,34845.79,65
298,AC-3701,C-130,Fort Worth,Avionics,Northrop,07/02/2024,22.0,9,Delayed,39031.55,67
299,AC-7147,F-16,Eglin AFB,Landing Gear,Raytheon,02/09/2025,,7,Completed,22994.58,59
300,AC-3024,B-2,Hill AFB,Software Update,Northrop,08/15/2024,19.0,N/A,Awaiting Parts,15196.77,73
301,AC-3247,C-130,Fort Worth,Landing Gear,L3Harris,2024-05-18,20.0,3,Delayed,25344.94,81
302,AC-4304,F-16,Nellis AFB,Hydraulics,Northrop ,2025-03-01,28.0,5,Awaiting Parts,25557.24,70
303,AC-2809,B-2,Nellis AFB,Avionics,Raytheon,12/09/2024,7.0,7,In Progress,32745.81,82
304,AC-5327,C-130,Fort Worth,Engine Repair,Northrop,05/15/2025,35.0,3,In Progress,27629.8,61
305,AC-1158,F-22,Luke AFB,Hydraulics,Boeing,03/11/2025,19.0,11,Completed,23856.45,65
306,AC-7557,C-130,Hill AFB,Software Update,GE Aerospace,02/28/2024,20.0,7,Completed,27239.31,74
307,AC-2699,C-130,Eglin AFB,Software Update,L3Harris,04/27/2025,14.0,5,In Progress,37883.58,78
308,AC-8914,C-130,Fort Worth,Software Update,GE Aerospace,2025-03-26,9.0,5,Delayed,16598.55,83
309,AC-9570,B-2,Fort Worth,Software Update,Northrop,06/22/2024,27.0,0,Delayed,18292.94,76
310,AC-1190,F-22,Eglin AFB,Software Update,GE Aerospace,11/09/2024,21.0,11,Delayed,24211.0,63
311,AC-7203,C-130,Luke AFB,Engine Repair,GE Aerospace,09/16/2024,13.0,12,Awaiting Parts,7623.83,73
312,AC-1291,F-35A,Nellis AFB,Software Update,Raytheon,09/11/2024,,6,In Progress,18975.35,99
313,AC-8474,F-16,Hill AFB,Engine Repair,Northrop,12/01/2024,9.0,7,Awaiting Parts,27925.61,89
314,AC-2596,F-22,Fort Worth,Hydraulics,Boeing,08/19/2024,13.0,0,In Progress,35469.49,83
315,AC-3301,C-130,Fort Worth,Hydraulics,L3Harris,2024-03-25,23.0,4,Delayed,47159.64,75
316,AC-2765,C-130,Fort Worth,Electrical,L3Harris ,2025-01-01,9.0,0,Delayed,16697.1,91
317,AC-8091,B-2,Nellis AFB,Landing Gear,Northrop,01/11/2025,17.0,5,Completed,22105.17,73
318,AC-9259,C-130,Nellis AFB,Landing Gear,Northrop,03/27/2025,20.0,0,Awaiting Parts,42325.18,80
319,AC-5897,B-2,Hill AFB,Electrical,L3Harris,11/04/2024,17.0,9,In Progress,29112.7,77
320,AC-3913,B-2,Eglin AFB,Electrical,Boeing,03/08/2024,21.0,7,Awaiting Parts,30372.5,77
321,AC-7920,F-35A,Eglin AFB,Engine Repair,Raytheon,09/30/2024,23.0,N/A,In Progress,27358.25,66
322,AC-5105,F-22,Fort Worth,Electrical,Boeing,05/26/2024,23.0,4,Awaiting Parts,42281.41,78
323,AC-4675,B-2,Nellis AFB,Avionics,L3Harris,01/13/2025,12.0,12,Completed,24518.1,79
324,AC-6122,B-2,Fort Worth,Engine Repair,Boeing,05/04/2025,6.0,5,Awaiting Parts,16827.38,94
325,AC-7025,B-2,Eglin AFB,Electrical,L3Harris,2024-12-26,24.0,2,Awaiting Parts,19645.8,79
326,AC-9418,F-35A,Nellis AFB,engine repair,GE Aerospace,04/05/2024,2.0,3,In Progress,4086.55,92
327,AC-1654,F-22,Hill AFB,Landing Gear,Raytheon,04/24/2025,5.0,8,In Progress,34429.6,84
328,AC-6207,B-2,Luke AFB,Avionics,L3Harris,2024-07-02,21.0,1,Awaiting Parts,24427.46,74
329,AC-6437,F-16,Hill AFB,Hydraulics,Northrop,04/19/2024,17.0,0,Completed,43040.78,88
330,AC-4994,F-35A,Hill AFB,Software Update,Raytheon,05/03/2024,25.0,4,In Progress,25322.63,76
331,AC-5856,F-22,Hill AFB,Landing Gear,Raytheon,09/06/2024,19.0,0,Completed,22033.87,76
332,AC-7950,F-35A,Luke AFB,landing gear,GE Aerospace,11/18/2024,12.0,0,Delayed,21626.8,86
333,AC-2200,F-35A,Luke AFB,Hydraulics,L3Harris,2024-01-20,32.0,7,Awaiting Parts,18145.85,57
334,AC-1276,C-130,Fort Worth,Landing Gear,Raytheon,08/09/2024,22.0,10,Completed,36095.6,68
335,AC-2738,F-16,Hill AFB,Landing Gear,Raytheon,04/20/2025,18.0,2,Completed,33378.68,83
336,AC-9941,F-16,Luke AFB,Hydraulics,Boeing ,03/10/2024,,8,Delayed,32622.06,72
337,AC-9800,B-2,Fort Worth,Hydraulics,Northrop,11/01/2024,26.0,2,Awaiting Parts,40808.73,73
338,AC-4014,F-22,Eglin AFB,Hydraulics,Northrop,2024-03-13,19.0,13,Completed,16729.75,65
339,AC-2198,F-16,Fort Worth,Hydraulics,Raytheon,2024-10-08,31.0,5,In Progress,17182.98,66
340,AC-2143,F-22,Hill AFB,Software Update,GE Aerospace,02/21/2024,14.0,3,Delayed,30089.99,82
341,AC-3762,F-35A,Hill AFB,Avionics,Northrop,06/10/2024,22.0,2,In Progress,24707.74,77
342,AC-8583,C-130,Hill AFB,Hydraulics,GE Aerospace,03/25/2025,35.0,11,In Progress,30235.88,56
343,AC-5312,F-35A,Fort Worth,Engine Repair,L3Harris,10/02/2024,18.0,5,Delayed,32362.22,75
344,AC-8734,F-22,Hill AFB,Software Update,Northrop,10/05/2024,9.0,3,Delayed,4976.99,91
345,AC-9227,F-35A,Luke AFB,Landing Gear,Northrop,07/22/2024,21.0,7,Delayed,19201.76,72
346,AC-4585,C-130,Luke AFB,Engine Repair,Boeing,07/02/2024,,0,In Progress,7427.5,65
347,AC-1653,F-16,Fort Worth,Electrical,L3Harris,03/27/2025,19.0,9,Delayed,45207.13,67
348,AC-2275,B-2,Hill AFB,Software Update,Northrop,10/27/2024,14.0,9,Awaiting Parts,24537.9,82
349,AC-3276,C-130,Luke AFB,Avionics,Raytheon,01/04/2024,16.0,8,Delayed,32827.87,79
350,AC-4773,C-130,Hill AFB,Electrical,Raytheon,03/01/2024,5.0,10,Delayed,41561.1,90
351,AC-3095,B-2,Eglin AFB,Avionics,Northrop,05/04/2024,,6,Completed,30928.36,77
352,AC-1305,F-16,Fort Worth,Avionics,GE Aerospace,09/21/2024,20.0,2,Delayed,16940.52,79
353,AC-3979,B-2,Eglin AFB,Hydraulics,Northrop,02/10/2025,17.0,9,Completed,31523.2,78
354,AC-4315,B-2,Eglin AFB,Electrical,GE Aerospace,02/25/2024,15.0,8,Completed,9182.51,72
355,AC-2526,C-130,Luke AFB,Landing Gear,L3Harris,01/20/2025,27.0,0,Awaiting Parts,20650.71,69
356,AC-8028,F-22,Nellis AFB,Software Update,Boeing,01/23/2024,9.0,0,Completed,38929.92,94
357,AC-2373,F-16,Eglin AFB,Landing Gear,GE Aerospace,01/27/2025,,6,Completed,24436.95,78
358,AC-4365,F-16,Nellis AFB,Hydraulics,Raytheon,2024-01-04,21.0,5,Awaiting Parts,9604.09,75
359,AC-4337,C-130,Eglin AFB,Landing Gear,GE Aerospace,2024-12-14,25.0,3,In Progress,6321.02,73
360,AC-2951,F-22,Nellis AFB,Electrical,Northrop,2024-07-22,14.0,11,Completed,35202.66,72
361,AC-3381,C-130,Eglin AFB,Software Update,Raytheon,2024-01-03,15.0,3,Completed,21140.38,78
362,AC-9536,F-16,Eglin AFB,Engine Repair,Northrop,07/24/2024,34.0,6,In Progress,30160.5,64
363,AC-4795,B-2,Luke AFB,Electrical,Raytheon,09/18/2024,26.0,5,Completed,21891.49,72
364,AC-7474,C-130,Eglin AFB,Avionics,L3Harris,2024-06-29,16.0,4,In Progress,24553.33,85
365,AC-6693,F-16,Luke AFB,Landing Gear,Northrop,10/25/2024,23.0,N/A,Delayed,33791.68,72
366,AC-5821,F-16,Fort Worth,Landing Gear,Boeing,02/07/2024,17.0,5,Awaiting Parts,1021.59,81
367,AC-6565,C-130,Nellis AFB,Landing Gear,Raytheon,01/29/2025,25.0,6,Delayed,36976.12,67
368,AC-6785,B-2,Eglin AFB,Engine Repair,Boeing,06/10/2024,5.0,13,In Progress,23324.92,83
369,AC-6792,F-22,Eglin AFB,Hydraulics,Northrop,08/31/2024,26.0,0,Awaiting Parts,32353.29,74
370,AC-4387,F-22,Luke AFB,Avionics,L3Harris,05/03/2024,9.0,2,Completed,47968.38,88
371,AC-9871,F-35A,Nellis AFB,Hydraulics,L3Harris,11/10/2024,16.0,5,In Progress,35440.81,74
372,AC-5591,C-130,Luke AFB,Landing Gear,Northrop,2025-04-13,21.0,5,Completed,29379.53,77
373,AC-8490,F-35A,Eglin AFB,Software Update,Boeing,12/17/2024,,4,Completed,27413.19,56
374,AC-9987,F-16,Luke AFB,Hydraulics,GE Aerospace,05/12/2024,26.0,9,Awaiting Parts,39244.36,62
375,AC-7563,F-16,Nellis AFB,Avionics,L3Harris,2024-07-09,23.0,0,Completed,44601.18,77
376,AC-7240,F-22,Luke AFB,Electrical,Northrop,10/11/2024,,6,Delayed,15948.69,87
377,AC-6172,C-130,Hill AFB,Hydraulics,L3Harris,09/21/2024,,6,Delayed,28856.29,80
378,AC-2577,C-130,Hill AFB,hydraulics,Boeing,08/31/2024,21.0,11,In Progress,30442.41,73
379,AC-4259,B-2,Eglin AFB,Electrical,L3Harris,2025-03-20,16.0,8,Awaiting Parts,39273.65,81
380,AC-5694,C-130,Luke AFB,Avionics,Boeing,02/10/2024,8.0,7,Completed,33414.07,86
381,AC-5773,F-16,Eglin AFB,Electrical,GE Aerospace,06/09/2024,15.0,10,In Progress,23199.33,75
382,AC-3741,F-22,Fort Worth,Avionics,Northrop,08/18/2024,19.0,4,Completed,25186.95,78
383,AC-8752,B-2,Fort Worth,Engine Repair,GE Aerospace,02/18/2024,9.0,0,Delayed,44134.06,87
384,AC-4757,F-22,Hill AFB,Software Update,Northrop,2024-07-18,11.0,N/A,In Progress,840.68,87
385,AC-9856,F-16,Eglin AFB,Software Update,Northrop,08/31/2024,12.0,0,Awaiting Parts,44704.18,90
386,AC-9576,B-2,Hill AFB,Hydraulics,GE Aerospace,10/15/2024,26.0,2,In Progress,52029.23,73
387,AC-9574,F-22,Hill AFB,Hydraulics,GE Aerospace,01/06/2024,25.0,3,Awaiting Parts,4992.87,67
388,AC-4788,F-35A,Eglin AFB,Hydraulics,Northrop,02/12/2025,36.0,0,Delayed,5255.22,63
389,AC-4614,F-16,Fort Worth,Software Update,Northrop,02/28/2025,26.0,14,In Progress,41611.27,61
390,AC-7765,F-22,Fort Worth,Avionics,Northrop,02/18/2025,22.0,7,In Progress,35240.99,70
391,AC-3492,F-35A,Eglin AFB,Engine Repair,Northrop,06/13/2024,24.0,6,Awaiting Parts,26250.41,65
392,AC-9086,F-22,Hill AFB,Software Update,Boeing,03/18/2024,17.0,1,Completed,21631.9,77
393,AC-1918,F-16,Nellis AFB,Engine Repair,L3Harris,05/02/2025,4.0,4,Awaiting Parts,13136.91,89
394,AC-7304,C-130,Luke AFB,Electrical,Raytheon,2025-01-28,9.0,5,Delayed,41704.03,84
395,AC-3598,F-35A,Eglin AFB,Landing Gear,Raytheon,06/08/2024,25.0,0,Completed,13124.46,75
396,AC-8113,F-16,Fort Worth,Avionics,Boeing,02/27/2024,25.0,1,Completed,22304.4,72
397,AC-3539,F-16,Fort Worth,Avionics,Northrop,12/18/2024,22.0,1,Completed,26264.51,81
398,AC-2759,F-22,Nellis AFB,Avionics,Boeing ,12/25/2024,7.0,2,Awaiting Parts,28837.38,94
399,AC-3207,F-16,Fort Worth,Software Update,GE Aerospace,07/12/2024,5.0,6,Delayed,24764.35,89
400,AC-3627,F-35A,Eglin AFB,Avionics,GE Aerospace,08/27/2024,22.0,5,Completed,41369.69,72
401,AC-1306,B-2,Hill AFB,Landing Gear,Northrop,01/10/2025,19.0,3,Awaiting Parts,26467.57,75
402,AC-3525,B-2,Hill AFB,Hydraulics,GE Aerospace,01/27/2025,22.0,5,Completed,25487.1,76
403,AC-4310,F-35A,Nellis AFB,Avionics,Raytheon,2024-04-01,12.0,2,Awaiting Parts,8168.74,81
404,AC-7002,F-22,Eglin AFB,Electrical,Raytheon,2024-05-11,31.0,0,Completed,16685.14,64
405,AC-7814,F-16,Fort Worth,Landing Gear,Boeing,07/03/2024,12.0,8,Completed,21460.6,83
406,AC-4784,B-2,Nellis AFB,Avionics,Northrop,02/19/2024,27.0,2,Delayed,28347.93,67
407,AC-6864,C-130,Nellis AFB,Engine Repair,Northrop,01/17/2025,11.0,13,Delayed,10748.82,72
408,AC-6163,B-2,Hill AFB,Hydraulics,GE Aerospace,04/22/2025,20.0,7,Delayed,29965.59,73
409,AC-5162,F-16,Nellis AFB,Software Update,GE Aerospace,2025-01-27,,4,Completed,25525.74,83
410,AC-5920,F-22,Luke AFB,Hydraulics,Raytheon,06/03/2024,16.0,8,Delayed,51526.28,71
411,AC-5341,F-16,Eglin AFB,Avionics,Northrop,03/20/2024,13.0,0,Delayed,23940.62,84
412,AC-3832,C-130,Eglin AFB,Engine Repair,L3Harris,02/09/2025,,1,Awaiting Parts,44669.4,63
413,AC-6700,C-130,Nellis AFB,Engine Repair,Northrop,01/29/2025,31.0,2,Awaiting Parts,31827.8,67
414,AC-3450,F-16,Eglin AFB,Electrical,Northrop,2024-06-12,31.0,3,Awaiting Parts,22557.04,69
415,AC-8076,F-16,Nellis AFB,Avionics,Northrop,02/16/2024,13.0,0,Awaiting Parts,17208.67,85
416,AC-3209,C-130,Eglin AFB,Avionics,GE Aerospace,08/10/2024,8.0,5,Delayed,15760.32,84
417,AC-2467,F-35A,Nellis AFB,Software Update,Boeing,08/08/2024,19.0,0,Completed,28970.56,81
418,AC-8245,B-2,Luke AFB,Software Update,Raytheon,06/28/2024,24.0,0,Delayed,29488.68,80
419,AC-4982,B-2,Luke AFB,hydraulics,Raytheon,02/27/2024,27.0,0,Awaiting Parts,45070.87,68
420,AC-4339,B-2,Eglin AFB,Hydraulics,L3Harris,10/02/2024,21.0,2,Completed,24330.77,75
421,AC-5185,F-22,Fort Worth,Hydraulics,Northrop,09/26/2024,22.0,N/A,Completed,31465.07,68
422,AC-6901,F-35A,Fort Worth,Hydraulics,GE Aerospace,12/05/2024,10.0,5,Completed,8035.43,90
423,AC-2442,F-22,Luke AFB,Landing Gear,GE Aerospace,11/01/2024,17.0,N/A,In Progress,16173.64,85
424,AC-6681,F-16,Hill AFB,Electrical,Boeing,03/21/2024,27.0,9,Completed,32309.66,59
425,AC-5590,F-22,Luke AFB,Hydraulics,GE Aerospace,03/31/2025,9.0,3,Delayed,39557.17,83
426,AC-6395,C-130,Eglin AFB,Avionics,Northrop,08/06/2024,19.0,14,Delayed,29719.81,66
427,AC-3215,C-130,Luke AFB,Electrical,L3Harris,12/27/2024,19.0,3,Completed,26602.49,81
428,AC-6221,C-130,Nellis AFB,Hydraulics,GE Aerospace,03/15/2024,16.0,7,In Progress,36480.43,72
429,AC-1429,B-2,Eglin AFB,Hydraulics,L3Harris,03/08/2024,11.0,0,Completed,2965.54,86
430,AC-9230,B-2,Nellis AFB,Electrical,Boeing,2024-09-01,22.0,0,Delayed,834.69,75
431,AC-5421,C-130,Luke AFB,Electrical,Northrop,01/26/2025,21.0,14,Awaiting Parts,24927.15,60
432,AC-5043,C-130,Nellis AFB,Engine Repair,L3Harris,06/15/2024,24.0,5,Completed,23813.32,73
433,AC-5025,B-2,Eglin AFB,Software Update,Raytheon,02/27/2025,25.0,3,Completed,28208.71,67
434,AC-5684,C-130,Luke AFB,Software Update,Boeing,03/28/2025,20.0,2,Delayed,36904.51,77
435,AC-2854,F-22,Eglin AFB,Electrical,L3Harris,2024-02-16,16.0,1,Delayed,31438.12,86
436,AC-8449,F-35A,Hill AFB,Hydraulics,Northrop,04/03/2025,10.0,5,Awaiting Parts,24890.57,83
437,AC-9383,B-2,Luke AFB,Software Update,L3Harris,12/28/2024,26.0,6,Delayed,24699.68,69
438,AC-7874,F-16,Hill AFB,electrical,GE Aerospace,01/28/2025,24.0,10,Delayed,31693.72,61
439,AC-9153,C-130,Eglin AFB,Engine Repair,L3Harris,01/07/2024,18.0,0,Awaiting Parts,12218.64,84
440,AC-1107,F-22,Eglin AFB,Hydraulics,L3Harris,11/03/2024,15.0,2,Delayed,22756.34,87
441,AC-1531,B-2,Eglin AFB,Hydraulics,Boeing,01/19/2024,,7,Delayed,24154.01,72
442,AC-3906,C-130,Eglin AFB,Hydraulics,Raytheon,2024-12-04,21.0,5,Awaiting Parts,1294.4,78
443,AC-2063,F-16,Nellis AFB,Avionics,Raytheon,03/07/2025,10.0,4,Delayed,10483.66,89
444,AC-9666,F-35A,Nellis AFB,Electrical,L3Harris,02/25/2024,22.0,11,In Progress,39625.14,71
445,AC-3125,B-2,Eglin AFB,Software Update,L3Harris,11/15/2024,16.0,10,Delayed,26784.01,74
446,AC-1392,C-130,Fort Worth,Electrical,Northrop,01/01/2024,15.0,2,In Progress,21370.36,79
447,AC-4296,F-16,Hill AFB,Engine Repair,Boeing,04/18/2024,14.0,5,Completed,26926.89,76
448,AC-1477,F-22,Luke AFB,Hydraulics,Boeing,01/05/2025,18.0,6,Completed,39287.76,80
449,AC-9797,F-16,Nellis AFB,Software Update,Raytheon ,11/17/2024,25.0,0,In Progress,5647.05,77
450,AC-6434,F-16,Fort Worth,Avionics,Boeing,10/22/2024,25.0,0,Delayed,22302.82,80
451,AC-6050,F-16,Fort Worth,Hydraulics,GE Aerospace,2024-10-31,8.0,0,In Progress,31497.55,88
452,AC-1612,F-22,Fort Worth,Software Update,L3Harris,2024-02-27,24.0,2,Delayed,6092.51,74
453,AC-6084,F-16,Luke AFB,Engine Repair,L3Harris,03/23/2025,13.0,6,Awaiting Parts,7253.06,84
454,AC-6095,F-35A,Eglin AFB,engine repair,Boeing,02/29/2024,,4,In Progress,31951.5,72
455,AC-6257,F-22,Luke AFB,Hydraulics,Boeing,11/23/2024,18.0,1,In Progress,39358.86,79
456,AC-9422,F-35A,Luke AFB,Landing Gear,Boeing,01/08/2024,16.0,4,In Progress,13800.78,84
457,AC-6549,B-2,Nellis AFB,Engine Repair,Northrop,2024-06-08,14.0,N/A,Awaiting Parts,22924.65,89
458,AC-8304,B-2,Hill AFB,Hydraulics,Boeing,04/01/2024,31.0,0,Completed,5637.26,73
459,AC-3159,F-35A,Nellis AFB,Engine Repair,GE Aerospace,08/26/2024,29.0,4,Awaiting Parts,16971.13,71
460,AC-5227,F-16,Nellis AFB,Avionics,Boeing,03/16/2025,26.0,2,Completed,46912.12,76
461,AC-3798,F-16,Hill AFB,Landing Gear,L3Harris,2024-09-02,23.0,3,Completed,50887.7,76
462,AC-9728,C-130,Nellis AFB,Landing Gear,GE Aerospace,02/09/2025,13.0,7,Awaiting Parts,28591.51,79
463,AC-8063,C-130,Eglin AFB,Hydraulics,L3Harris,02/20/2025,28.0,11,Awaiting Parts,25384.05,65
464,AC-2599,C-130,Luke AFB,Hydraulics,GE Aerospace,2024-06-15,11.0,6,Awaiting Parts,16867.42,86
465,AC-4565,F-22,Eglin AFB,Electrical,Raytheon,02/01/2024,34.0,5,In Progress,20616.14,57
466,AC-6187,F-16,Eglin AFB,Electrical,Boeing,04/10/2024,19.0,0,In Progress,13340.63,79
467,AC-7622,F-22,Hill AFB,Engine Repair,Boeing,11/09/2024,27.0,N/A,In Progress,12437.07,74
468,AC-8073,B-2,Nellis AFB,Electrical,Boeing,01/16/2024,22.0,9,Delayed,33627.44,67
469,AC-7301,F-16,Nellis AFB,Avionics,Boeing,04/06/2024,25.0,1,Completed,7938.27,77
470,AC-8155,F-22,Fort Worth,Avionics,GE Aerospace,03/29/2025,30.0,3,Awaiting Parts,21990.0,69
471,AC-8373,C-130,Hill AFB,Avionics,Northrop,08/05/2024,,7,Delayed,30470.65,68
472,AC-7012,F-35A,Fort Worth,Landing Gear,GE Aerospace,04/19/2025,35.0,2,Completed,36134.08,66
473,AC-8617,B-2,Fort Worth,Landing Gear,L3Harris,2025-03-15,18.0,6,Completed,43341.62,75
474,AC-1864,F-16,Eglin AFB,Engine Repair,GE Aerospace,10/23/2024,22.0,7,In Progress,37870.09,70
475,AC-5738,F-22,Fort Worth,Electrical,L3Harris,02/12/2025,15.0,1,Completed,12462.29,83
476,AC-5780,B-2,Fort Worth,Hydraulics,GE Aerospace,2024-10-20,2.0,13,In Progress,11761.5,80
477,AC-1232,F-35A,Eglin AFB,Avionics,L3Harris,05/20/2024,16.0,3,Delayed,28688.88,80
478,AC-9640,F-35A,Hill AFB,Engine Repair,Northrop,09/05/2024,24.0,8,Awaiting Parts,18003.07,65
479,AC-3740,F-22,Eglin AFB,Electrical,Boeing,2024-08-13,16.0,6,Completed,22015.71,83
480,AC-9724,F-22,Nellis AFB,Electrical,GE Aerospace,06/03/2024,30.0,6,Completed,33818.53,66
481,AC-6172,B-2,Fort Worth,Engine Repair,L3Harris,07/14/2024,23.0,9,In Progress,27172.26,73
482,AC-7408,C-130,Luke AFB,Electrical,L3Harris ,02/20/2024,7.0,6,Delayed,17183.72,86
483,AC-1195,C-130,Fort Worth,Landing Gear,Raytheon ,01/05/2024,13.0,7,In Progress,39859.4,76
484,AC-4552,B-2,Fort Worth,Electrical,Raytheon,2024-02-17,18.0,6,Delayed,45426.58,71
485,AC-8650,F-35A,Nellis AFB,Hydraulics,GE Aerospace,05/09/2024,19.0,15,In Progress,31786.12,65
